Rk,Player,Age,Team,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
119,Bill Willoughby,24,HOU,SF,2,17,14.9,.694,.000,1.000,11.1,24.9,17.6,8.6,0.0,0.0,25.8,10.1,0.0,0.0,0.1,.154,0.7,-0.1,0.6,0.0,,willobi01
120,Jan van Breda Kolff,30,NJN,SF,2,16,6.1,.000,.000,.000,0.0,23.1,11.1,0.0,6.2,3.8,50.0,5.4,0.0,0.0,0.0,-0.002,-6.2,5.3,-0.9,0.0,,vanbrja01
121,Craig Dykema,22,PHO,SF,6,12,-4.5,.167,.000,.000,0.0,37.8,18.2,9.5,0.0,0.0,14.3,22.9,-0.1,0.0,-0.1,-0.310,-16.1,-4.7,-20.8,-0.1,,dykemcr01
122,Steve Hawes,31,ATL,PF,1,12,26.2,.518,.000,.800,29.7,24.4,27.3,0.0,0.0,0.0,0.0,26.4,0.1,0.0,0.1,.238,8.2,-2.9,5.3,0.0,,hawesst01
123,Eric Fernsten,28,BOS,C,5,11,14.7,.521,.000,1.000,19.5,0.0,9.5,0.0,0.0,5.2,0.0,10.6,0.0,0.0,0.0,.169,6.4,-1.9,4.6,0.0,,fernser01
124,Mike McGee,22,LAL,SF,4,10,24.6,.462,.077,.000,33.6,0.0,15.9,0.0,0.0,0.0,7.1,55.0,0.0,0.0,0.0,.023,3.6,-10.3,-6.7,0.0,,mcgeemi01
125,Mike Gminski,22,NJN,C,1,10,15.6,.644,.000,.667,0.0,24.6,11.9,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,.203,-0.8,0.2,-0.6,0.0,,gminsmi01
126,Larry Spriggs,22,HOU,SF,2,9,27.2,.676,.000,.250,0.0,11.8,5.6,54.2,0.0,0.0,0.0,21.8,0.1,0.0,0.1,.334,5.7,5.8,11.5,0.0,,sprigla01
127,Ed Sherod,22,NJN,,2,8,8.0,.000,.000,.000,14.3,0.0,7.4,16.2,6.2,0.0,0.0,5.4,0.0,0.0,0.0,.056,-4.6,5.3,0.7,0.0,,sheroed01
128,Roger Phegley,25,SAS,SG,5,6,-34.8,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,60.0,32.8,-0.1,0.0,-0.1,-0.964,-30.5,-12.8,-43.3,0.0,,pheglro01
129,Eddie Jordan,27,LAL,PG,3,6,22.0,.000,.500,.000,0.0,0.0,0.0,84.7,15.5,0.0,33.3,19.7,0.0,0.0,0.0,-0.030,6.7,12.7,19.3,0.0,,jordaed01
130,Greg Kelser,24,SEA,SF,3,6,12.5,.532,.000,2.000,17.7,34.0,26.1,20.9,0.0,0.0,34.7,40.6,0.0,0.0,0.0,-0.017,-9.0,-0.3,-9.3,0.0,,kelsegr01
131,Carlos Terry,25,WSB,SG,3,5,3.4,,,,0.0,23.1,11.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.066,-2.4,0.0,-2.5,0.0,,terryca01
132,Rich Yonakor,23,SAS,PF,2,4,29.6,.500,.000,.000,0.0,27.4,13.1,38.7,11.8,0.0,0.0,19.7,0.0,0.0,0.0,.313,4.9,13.6,18.5,0.0,,yonakri01
133,Sam Pellom,30,ATL,PF,1,4,13.1,.333,.000,.000,29.7,0.0,16.4,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,-0.125,2.4,-8.8,-6.4,0.0,,pellosa01
134,Freeman Williams,25,ATL,SG,1,4,-17.0,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,-0.543,-16.2,-8.8,-25.0,0.0,,willifr01
135,John Lambert,29,SAS,PF,2,3,5.4,.000,1.000,.000,0.0,36.5,17.4,37.2,0.0,0.0,0.0,13.1,0.0,0.0,0.0,-0.135,-2.6,1.4,-1.3,0.0,,lambejo01
136,Brad Holland,25,MIL,SG,1,3,36.6,1.000,.000,.000,0.0,0.0,0.0,70.6,0.0,0.0,0.0,14.1,0.0,0.0,0.0,.468,17.3,4.5,21.8,0.0,,hollabr01
137,James Ray,24,DEN,PF,1,2,7.5,,,,0.0,0.0,0.0,0.0,0.0,25.7,,0.0,0.0,0.0,0.0,.070,-9.3,12.7,3.4,0.0,,rayja01
138,Calvin Garrett,25,HOU,SF,1,1,-34.2,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0,0.0,0.0,-0.975,-29.5,-17.9,-47.4,0.0,,garreca01
,League Average,,,,,,,.521,.026,.319,7.1,12.9,10.0,15.5,1.7,1.5,14.0,19.9,,,,,,,,,,-9999
